author	authorLabel
http://www.wikidata.org/entity/Q656891	Arulenus Rusticus
http://www.wikidata.org/entity/Q88024399	Asper
http://www.wikidata.org/entity/Q428905	Asser
http://www.wikidata.org/entity/Q76738	Athanasius Kircher
http://www.wikidata.org/entity/Q1164947	Atilius
http://www.wikidata.org/entity/Q8208327	Atilius Fortunatianus
http://www.wikidata.org/entity/Q259531	Attius Labeo
http://www.wikidata.org/entity/Q512544	Atto of Vercelli
http://www.wikidata.org/entity/Q28441319	Audax
http://www.wikidata.org/entity/Q651657	Audoin
http://www.wikidata.org/entity/Q15443387	Audradus Modicus
http://www.wikidata.org/entity/Q4820327	Aufidius Namusa
http://www.wikidata.org/entity/Q761023	August Buchner
http://www.wikidata.org/entity/Q68848	August Wilhelm Zumpt
http://www.wikidata.org/entity/Q8018	Augustine of Hippo
http://www.wikidata.org/entity/Q2871655	Augustinus Triumphus
http://www.wikidata.org/entity/Q772539	Aulus Caecina
http://www.wikidata.org/entity/Q312420	Aulus Cornelius Celsus
http://www.wikidata.org/entity/Q718196	Aulus Furius Antias
http://www.wikidata.org/entity/Q294800	Aulus Gellius
http://www.wikidata.org/entity/Q781386	Aulus Ofilius
http://www.wikidata.org/entity/Q4821868	Aunarius
http://www.wikidata.org/entity/Q1224938	Aurelius Opilius
http://www.wikidata.org/entity/Q234593	Ausonius
http://www.wikidata.org/entity/Q775638	Auspicius of Toul
http://www.wikidata.org/entity/Q459604	Autpert Ambrose
http://www.wikidata.org/entity/Q4827326	Auxilius of Naples
http://www.wikidata.org/entity/Q185732	Avianus
http://www.wikidata.org/entity/Q366793	Avienus
http://www.wikidata.org/entity/Q225201	Avitus of Vienne
http://www.wikidata.org/entity/Q211133	Baldassarre Castiglione
http://www.wikidata.org/entity/Q111232204	Baldassarre Paglia
http://www.wikidata.org/entity/Q804774	Baldric of Dol
http://www.wikidata.org/entity/Q660426	Baldwin of Forde
http://www.wikidata.org/entity/Q88008486	Bandinus
http://www.wikidata.org/entity/Q810973	Baptista Mantuanus
http://www.wikidata.org/entity/Q85512009	Bartholomew of Marmoutier
http://www.wikidata.org/entity/Q3635444	Bartholomew of San Concordio
http://www.wikidata.org/entity/Q384698	Barthélémy Aneau
http://www.wikidata.org/entity/Q809391	Bartolomeo da Rinonico
http://www.wikidata.org/entity/Q154938	Bede
http://www.wikidata.org/entity/Q567639	Bele Regis Notarius
http://www.wikidata.org/entity/Q45031931	Benedetto Egio
http://www.wikidata.org/entity/Q176833	Benedetto Varchi
http://www.wikidata.org/entity/Q712214	Benedict of Aniane
http://www.wikidata.org/entity/Q88590070	Benedict of Bari
http://www.wikidata.org/entity/Q4887329	Benedict of Soracte
http://www.wikidata.org/entity/Q24024000	Benedictus Canonicus
http://www.wikidata.org/entity/Q554825	Benedikt Kotruljević
http://www.wikidata.org/entity/Q55132782	Berengoz
http://www.wikidata.org/entity/Q559219	Bernard Gui
http://www.wikidata.org/entity/Q4893244	Bernard II, Count of Besalú
http://www.wikidata.org/entity/Q2898857	Bernard le Sage
http://www.wikidata.org/entity/Q17354034	Bernard of Angers
http://www.wikidata.org/entity/Q188411	Bernard of Clairvaux
http://www.wikidata.org/entity/Q826271	Bernard of Cluny
http://www.wikidata.org/entity/Q85512016	Bernard of Fontcaude
http://www.wikidata.org/entity/Q16497918	Bernarda Ferreira de Lacerda
http://www.wikidata.org/entity/Q104183238	Bernardino Trebazio
http://www.wikidata.org/entity/Q823033	Bernardo Rucellai
http://www.wikidata.org/entity/Q15984783	Bernelinus
http://www.wikidata.org/entity/Q85512022	Bernerus Humolariensis
http://www.wikidata.org/entity/Q458981	Berno of Reichenau
http://www.wikidata.org/entity/Q471069	Bernold of Constance
http://www.wikidata.org/entity/Q65127920	Bernowin of Clermont
http://www.wikidata.org/entity/Q1132947	Bertechramnus
http://www.wikidata.org/entity/Q53679510	Berthaire de Verdun
http://www.wikidata.org/entity/Q3638904	Bertharius
http://www.wikidata.org/entity/Q102851	Boethius
http://www.wikidata.org/entity/Q542434	Boncompagno da Signa
http://www.wikidata.org/entity/Q134646	Boniface VIII
http://www.wikidata.org/entity/Q87181552	Bonifacio Veronese
http://www.wikidata.org/entity/Q4942096	Bonizo of Sutri
http://www.wikidata.org/entity/Q1248641	Bonvesin da la Riva
http://www.wikidata.org/entity/Q85512039	Bovo of Saint-Bertin
http://www.wikidata.org/entity/Q4975525	Brother Leo
http://www.wikidata.org/entity/Q563247	Bruno
http://www.wikidata.org/entity/Q994018	Bruno
